invoice_num,payment_method
I234673,Credit Card
I138615,Debit Card
I116541,Cash
I332971,Cash
I786653,Cash
I115338,Credit Card
I201131,Cash
I328046,Debit Card
I153790,Cash
I251311,Credit Card
I326582,Credit Card
I474661,Cash
I160638,Cash
I437948,Cash
I282321,Cash
I707747,Debit Card
I158486,Credit Card
I224933,Credit Card
I164873,Credit Card
I325555,Credit Card
I325396,Cash
I280155,Debit Card
I156562,Credit Card
I332361,Cash
I317628,Credit Card
I907952,Credit Card
I281621,Credit Card
I289841,Cash
I335087,Cash
I239889,Cash
I742907,Cash
I271714,Cash
I457421,Cash
I246390,Cash
I179338,Cash
I254528,Cash
I299925,Credit Card
I321373,Cash
I966684,Cash
I726807,Credit Card
I333100,Credit Card
I207643,Cash
I647207,Credit Card
I330964,Debit Card
I237324,Credit Card
I269825,Cash
I305024,Credit Card
I223568,Credit Card
I194268,Cash
I155448,Cash
I205336,Cash
I171351,Debit Card
I249223,Cash
I258001,Credit Card
I231029,Cash
I163202,Credit Card
I169427,Cash
I737161,Credit Card
I225327,Cash
I159355,Debit Card
I280408,Cash
I323785,Cash
I257286,Credit Card
I331405,Cash
I306957,Credit Card
I147079,Credit Card
I829259,Cash
I296251,Cash
I808238,Credit Card
I891465,Cash
I563052,Cash
I130443,Cash
I241690,Credit Card
I643231,Cash
I295337,Debit Card
I265980,Credit Card
I293153,Cash
I193148,Cash
I318625,Cash
I142245,Debit Card
I205906,Credit Card
I277462,Cash
I753100,Cash
I610847,Cash
I295181,Credit Card
I198308,Credit Card
I180570,Cash
I260475,Credit Card
I251024,Debit Card
I302151,Cash
I145917,Credit Card
I254721,Debit Card
I103120,Debit Card
I173288,Credit Card
I279088,Credit Card
I190414,Debit Card
I613381,Cash
I107697,Cash
I193600,Credit Card
I165090,Debit Card
I260728,Credit Card
I164219,Cash
I318282,Credit Card
I212598,Cash
I212833,Cash
I326146,Cash
I169684,Debit Card
I462436,Cash
I940151,Credit Card
I210603,Debit Card
I174942,Credit Card
I163206,Credit Card
I266121,Cash
I454912,Credit Card
I831916,Debit Card
I180372,Cash
I466698,Debit Card
I119678,Cash
I296369,Cash
I133116,Debit Card
I165625,Cash
I333045,Credit Card
I131869,Debit Card
I168101,Cash
I713258,Cash
I144171,Debit Card
I191531,Cash
I165583,Credit Card
I210803,Credit Card
I209258,Cash
I169548,Credit Card
I140693,Credit Card
I172509,Cash
I301205,Credit Card
I338366,Debit Card
I108742,Credit Card
I261374,Debit Card
I860717,Debit Card
I295440,Debit Card
I273820,Credit Card
I279919,Cash
I190006,Debit Card
I156252,Debit Card
I183583,Cash
I258930,Credit Card
I651105,Cash
I135098,Cash
I187453,Cash
I176625,Cash
I289516,Credit Card
I188382,Cash
I749173,Credit Card
I752413,Credit Card
I254886,Debit Card
I323478,Cash
I178637,Credit Card
I840591,Cash
I251184,Credit Card
I929854,Debit Card
I274883,Cash
I338411,Credit Card
I301433,Cash
I218234,Cash
I716822,Credit Card
I174219,Cash
I278299,Credit Card
I267714,Cash
I670822,Credit Card
I339508,Cash
I268823,Debit Card
I217906,Cash
I846907,Cash
I176751,Credit Card
I325587,Cash
I112845,Cash
I158003,Cash
I276368,Debit Card
I206246,Cash
I195587,Cash
I213354,Credit Card
I583185,Credit Card
I236100,Credit Card
I298339,Debit Card
I280823,Credit Card
I863565,Cash
I243784,Credit Card
I810580,Debit Card
I297768,Cash
I231514,Cash
I200720,Credit Card
I171758,Debit Card
I148039,Debit Card
I943432,Cash
I215019,Cash
I204541,Cash
I528108,Debit Card
I163618,Cash
I255698,Cash
I328430,Credit Card
I561353,Cash
I101472,Cash
I109605,Debit Card
I143755,Debit Card
I335633,Credit Card
I212054,Debit Card
I142204,Credit Card
I310814,Debit Card
I202865,Cash
I128008,Cash
I244711,Cash
I202868,Debit Card
I229755,Cash
I551504,Debit Card
I357584,Cash
I572568,Credit Card
I834928,Debit Card
I301887,Credit Card
I722991,Cash
I121934,Cash
I161868,Debit Card
I227368,Cash
I283492,Credit Card
I236127,Cash
I259412,Credit Card
I155577,Cash
I311797,Credit Card
I242848,Credit Card
I448498,Credit Card
I310335,Debit Card
I925190,Cash
I777286,Debit Card
I126253,Debit Card
I287899,Debit Card
I170920,Cash
I270096,Credit Card
I557757,Cash
I377607,Credit Card
I256639,Credit Card
I322886,Cash
I248770,Cash
I128121,Cash
I326712,Cash
I159865,Credit Card
I234223,Cash
I616042,Cash
I148642,Credit Card
I103072,Cash
I497958,Credit Card
I236668,Debit Card
I836239,Cash
I249682,Cash
I140825,Debit Card
I742965,Cash
I291579,Credit Card
I196493,Credit Card
I185316,Cash
I212235,Cash
I219127,Debit Card
I971862,Cash
I108180,Cash
I321337,Cash
I274610,Cash
I678477,Credit Card
I326054,Cash
I284282,Cash
I256046,Cash
I486233,Credit Card
I237899,Debit Card
I102481,Credit Card
I198156,Cash
I411189,Credit Card
I528396,Debit Card
I225178,Credit Card
I103131,Cash
I179619,Cash
I229909,Cash
I472142,Cash
I184289,Credit Card
I340111,Cash
I244311,Cash
I208028,Credit Card
I201268,Cash
I406982,Credit Card
I259335,Cash
I278596,Cash
I156920,Credit Card
I189797,Debit Card
I283099,Cash
I108662,Cash
I443008,Credit Card
I756144,Credit Card
I148225,Credit Card
I187159,Debit Card
I265543,Credit Card
I169324,Cash
I186033,Cash
I307337,Debit Card
I988233,Cash
I713320,Debit Card
I187305,Debit Card
I193430,Credit Card
I202249,Cash
I910927,Credit Card
I602106,Credit Card
I289972,Debit Card
I109018,Credit Card
I333269,Debit Card
I586154,Cash
I264725,Credit Card
I291281,Credit Card
I144506,Cash
I205315,Cash
I211823,Debit Card
I160370,Credit Card
I526871,Credit Card
I275001,Debit Card
I129187,Cash
I292336,Cash
I122881,Cash
I240283,Cash
I204229,Credit Card
I110467,Cash
I316054,Debit Card
I203525,Cash
I186437,Debit Card
I136489,Credit Card
I125636,Debit Card
I310984,Credit Card
I329288,Credit Card
I278935,Cash
I243503,Debit Card
I214040,Credit Card
I135338,Credit Card
I103926,Credit Card
I200763,Debit Card
I210726,Cash
I140666,Cash
I328455,Credit Card
I289097,Cash
I173201,Credit Card
I203880,Debit Card
I695490,Debit Card
I788206,Credit Card
I935474,Debit Card
I308383,Credit Card
I335039,Cash
I375865,Credit Card
I300065,Cash
I123471,Debit Card
I259780,Cash
I276581,Credit Card
I187144,Credit Card
I200005,Debit Card
I246910,Cash
I274783,Credit Card
I258186,Debit Card
I149861,Credit Card
I678783,Debit Card
I283199,Credit Card
I262240,Credit Card
I255066,Cash
I110699,Cash
I172592,Cash
I197048,Cash
I846448,Debit Card
I255738,Debit Card
I309846,Cash
I230210,Cash
I338832,Credit Card
I701994,Cash
I116064,Credit Card
I233553,Cash
I334498,Credit Card
I210221,Cash
I107367,Cash
I240053,Credit Card
I198312,Cash
I111670,Credit Card
I631073,Debit Card
I304483,Cash
I110493,Debit Card
I224918,Credit Card
I176867,Credit Card
I225893,Credit Card
I462596,Debit Card
I990095,Debit Card
I112841,Credit Card
I177064,Debit Card
I293058,Cash
I714982,Credit Card
I259581,Credit Card
I272468,Cash
I773945,Cash
I488800,Credit Card
I539167,Cash
I614933,Cash
I307328,Cash
I195795,Cash
I316501,Cash
I105482,Cash
I269076,Debit Card
I235877,Debit Card
I323413,Debit Card
I404845,Credit Card
I249846,Debit Card
I110354,Debit Card
I175688,Debit Card
I467431,Debit Card
I175461,Cash
I157207,Cash
I193060,Credit Card
I255430,Debit Card
I165932,Credit Card
I123656,Cash
I338093,Credit Card
I543510,Debit Card
I177444,Debit Card
I248527,Credit Card
I103907,Cash
I109766,Cash
I195981,Credit Card
I583553,Debit Card
I225840,Credit Card
I478092,Cash
I107322,Credit Card
I307584,Credit Card
I300522,Credit Card
I335770,Debit Card
I273054,Debit Card
I226742,Cash
I259039,Debit Card
I263787,Cash
I301307,Debit Card
I270709,Credit Card
I390879,Cash
I694304,Debit Card
I613571,Cash
I320883,Credit Card
I306290,Cash
I440435,Cash
I321342,Credit Card
I273975,Credit Card
I337040,Credit Card
I223697,Debit Card
I287998,Debit Card
I117673,Debit Card
I249964,Cash
I100760,Credit Card
I234239,Cash
I125122,Cash
I831550,Cash
I898132,Cash
I144412,Cash
I264104,Cash
I203031,Cash
I147481,Cash
I293034,Cash
I252678,Cash
I257579,Cash
I257208,Cash
I255446,Credit Card
I854848,Debit Card
I213167,Credit Card
I316677,Cash
I328733,Cash
I127144,Debit Card
I125746,Cash
I994913,Credit Card
I634948,Cash
I269024,Debit Card
I264126,Cash
I140362,Debit Card
I617893,Cash
I190439,Credit Card
I182480,Credit Card
I203099,Credit Card
I740038,Debit Card
I215044,Cash
I171352,Credit Card
I340002,Cash
I230886,Cash
I133005,Cash
I282711,Cash
I150266,Cash
I339115,Credit Card
I185772,Cash
I122393,Cash
I280459,Credit Card
I912888,Debit Card
I238472,Cash
I581146,Cash
I151425,Credit Card
I252733,Credit Card
I176351,Cash
I221786,Credit Card
I328774,Cash
I752293,Cash
I106866,Credit Card
I286110,Credit Card
I313265,Debit Card
I214882,Credit Card
I166473,Cash
I178412,Debit Card
I261248,Cash
I147152,Cash
I531648,Cash
I215582,Debit Card
I331938,Debit Card
I176706,Cash
I306370,Credit Card
I894668,Credit Card
I163001,Cash
I216555,Debit Card
I247751,Debit Card
I238537,Cash
I128275,Credit Card
I167097,Cash
I329721,Credit Card
I145120,Debit Card
I339998,Credit Card
I101862,Credit Card
I292866,Cash
I244481,Debit Card
I399156,Cash
I998832,Credit Card
I228888,Cash
I304606,Cash
I287543,Cash
I181621,Debit Card
I282516,Cash
I182260,Cash
I139323,Cash
I339366,Cash
I192802,Cash
I137934,Credit Card
I322245,Cash
I317066,Credit Card
I907323,Cash
I337976,Credit Card
I174237,Debit Card
I231403,Cash
I115471,Credit Card
I592836,Cash
I317840,Cash
I153468,Credit Card
I120560,Cash
I208105,Credit Card
I565725,Cash
I858783,Credit Card
I168315,Cash
I146548,Cash
I115242,Debit Card
I761759,Credit Card
I278595,Credit Card
I230790,Debit Card
I187777,Credit Card
I204421,Credit Card
I186346,Credit Card
I214442,Debit Card
I271973,Credit Card
I168925,Debit Card
I124379,Credit Card
I221646,Debit Card
I209913,Credit Card
I110823,Credit Card
I241386,Cash
I113342,Credit Card
I189839,Cash
I288734,Debit Card
I241628,Credit Card
I312437,Credit Card
I206043,Credit Card
I448589,Debit Card
I225004,Debit Card
I295604,Credit Card
I233412,Credit Card
I246405,Debit Card
I330145,Credit Card
I730781,Debit Card
I258797,Cash
I140019,Cash
I299140,Cash
I145354,Debit Card
I212471,Debit Card
I980023,Credit Card
I179118,Debit Card
I242660,Credit Card
I488609,Credit Card
I184493,Cash
I178572,Cash
I275274,Cash
I266960,Cash
I282582,Cash
I225839,Debit Card
I756230,Debit Card
I339525,Credit Card
I232626,Credit Card
I291779,Cash
I224157,Cash
I245816,Debit Card
I907658,Cash
I317125,Credit Card
I145770,Debit Card
I252778,Debit Card
I364470,Cash
I592896,Debit Card
I639644,Debit Card
I148485,Cash
I271886,Credit Card
I185724,Cash
I623959,Cash
I222357,Cash
I148614,Cash
I813784,Credit Card
I211758,Debit Card
I270546,Cash
I891663,Credit Card
I162663,Credit Card
I252732,Credit Card
I823227,Cash
I185731,Credit Card
I309813,Credit Card
I255891,Debit Card
I144011,Credit Card
I291710,Cash
I163500,Debit Card
I107888,Debit Card
I977597,Credit Card
I283132,Credit Card
I637087,Cash
I335650,Credit Card
I259858,Cash
I214598,Cash
I309383,Debit Card
I228443,Debit Card
I111221,Debit Card
I205645,Cash
I296120,Cash
I317106,Credit Card
I300868,Cash
I254078,Cash
I158508,Cash
I120038,Cash
I208560,Cash
I223532,Credit Card
I236697,Cash
I129022,Cash
I312175,Cash
I780362,Debit Card
I311659,Debit Card
I279882,Debit Card
I324650,Cash
I760012,Cash
I139536,Debit Card
I500621,Cash
I227528,Debit Card
I165544,Credit Card
I587552,Debit Card
I170036,Cash
I135321,Cash
I679052,Cash
I292262,Cash
I419999,Credit Card
I144681,Credit Card
I252554,Credit Card
I204623,Cash
I212186,Credit Card
I435093,Debit Card
I251648,Cash
I156107,Credit Card
I160481,Credit Card
I134879,Cash
I139920,Credit Card
I289344,Credit Card
I281376,Credit Card
I169319,Debit Card
I328845,Debit Card
I228840,Credit Card
I227550,Cash
I223232,Cash
I161152,Cash
I395632,Cash
I201969,Credit Card
I271715,Cash
I682326,Cash
I175726,Cash
I885734,Cash
I133667,Debit Card
I420393,Debit Card
I313796,Cash
I133368,Debit Card
I788763,Credit Card
I205094,Cash
I197681,Credit Card
I133290,Cash
I239562,Credit Card
I267453,Credit Card
I305557,Credit Card
I151666,Cash
I208609,Credit Card
I140001,Debit Card
I340342,Cash
I186496,Cash
I280022,Cash
I171740,Credit Card
I421240,Credit Card
I148062,Cash
I416352,Credit Card
I163397,Credit Card
I235220,Credit Card
I143441,Debit Card
I205540,Credit Card
I236726,Cash
I156867,Credit Card
I109824,Cash
I179626,Credit Card
I304932,Cash
I336420,Cash
I697021,Cash
I656719,Cash
I642158,Credit Card
I875030,Credit Card
I136612,Debit Card
I158638,Cash
I201067,Credit Card
I189042,Debit Card
I132312,Cash
I114009,Credit Card
I169226,Debit Card
I328925,Credit Card
I230744,Credit Card
I279659,Cash
I230830,Cash
I392560,Cash
I165160,Cash
I251504,Credit Card
I154160,Cash
I383351,Credit Card
I139455,Cash
I166541,Credit Card
I241341,Credit Card
I757754,Credit Card
I970588,Cash
I137571,Cash
I807995,Cash
I957100,Cash
I169599,Credit Card
I470040,Credit Card
I140941,Cash
I102404,Credit Card
I300350,Debit Card
I306769,Debit Card
I880901,Cash
I301174,Credit Card
I146964,Cash
I868386,Cash
I217437,Credit Card
I282799,Cash
I132817,Credit Card
I206949,Cash
I928847,Credit Card
I163935,Debit Card
I327028,Cash
I240617,Credit Card
I174053,Credit Card
I320437,Credit Card
I129150,Cash
I220277,Credit Card
I332398,Credit Card
I284561,Cash
I659761,Credit Card
I131914,Cash
I310772,Cash
I227236,Debit Card
I162777,Cash
I300240,Cash
I240951,Cash
I140289,Debit Card
I227560,Cash
I168758,Cash
I134212,Credit Card
I221692,Credit Card
I335631,Cash
I171398,Cash
I333138,Credit Card
I186856,Credit Card
I326733,Credit Card
I329009,Credit Card
I274131,Cash
I402704,Credit Card
I158587,Credit Card
I332029,Credit Card
I166536,Credit Card
I178847,Cash
I290172,Credit Card
I150992,Credit Card
I217749,Credit Card
I221374,Debit Card
I259652,Cash
I155958,Credit Card
I322307,Credit Card
I157026,Credit Card
I425665,Credit Card
I263059,Credit Card
I329561,Credit Card
I122358,Credit Card
I282887,Cash
I133527,Debit Card
I310220,Cash
I145411,Debit Card
I627211,Cash
I161637,Cash
I796389,Cash
I123765,Credit Card
I287793,Credit Card
I819684,Cash
I280717,Cash
I310846,Debit Card
I160651,Credit Card
I157192,Credit Card
I330593,Cash
I270089,Credit Card
I101731,Cash
I179183,Debit Card
I267365,Cash
I135796,Cash
I293694,Credit Card
I195497,Debit Card
I142782,Credit Card
I202675,Cash
I228195,Cash
I716275,Debit Card
I237015,Credit Card
I229152,Debit Card
I240580,Credit Card
I206307,Debit Card
I170434,Credit Card
I284203,Debit Card
I339346,Credit Card
I213042,Credit Card
I266160,Credit Card
I284344,Debit Card
I264953,Credit Card
I281381,Cash
I195995,Cash
I912553,Debit Card
I186312,Debit Card
I297292,Cash
I128885,Credit Card
I961322,Credit Card
I277232,Debit Card
I247218,Cash
I308674,Credit Card
I538788,Credit Card
I682922,Cash
I123864,Cash
I474019,Debit Card
I857171,Cash
I317330,Credit Card
I476430,Credit Card
I712121,Credit Card
I253258,Credit Card
I103248,Cash
I201709,Credit Card
I140531,Credit Card
I598832,Cash
I233406,Cash
I274719,Debit Card
I868553,Cash
I310692,Credit Card
I254673,Debit Card
I153941,Credit Card
I255301,Cash
I276989,Debit Card
I172473,Cash
I215573,Cash
I224625,Credit Card
I113812,Cash
I325023,Credit Card
I407437,Credit Card
I935028,Credit Card
I121064,Credit Card
I796512,Cash
I322576,Credit Card
I198420,Cash
I117778,Cash
I258926,Credit Card
I121659,Cash
I125147,Cash
I123522,Cash
I239542,Cash
I857861,Cash
I249497,Credit Card
I454682,Cash
I934104,Cash
I144157,Cash
I170362,Cash
I805520,Credit Card
I252825,Credit Card
I338183,Cash
I300808,Cash
I225402,Cash
I255774,Debit Card
I196168,Credit Card
I580474,Debit Card
I124650,Cash
I777931,Debit Card
I208602,Cash
I984781,Cash
I789368,Cash
I850954,Credit Card
I313995,Cash
I233250,Cash
I631562,Cash
I387354,Cash
I910145,Debit Card
I707819,Debit Card
I138046,Credit Card
I319681,Credit Card
I158498,Credit Card
I299444,Cash
I229895,Cash
I117926,Debit Card
I256969,Cash
I189131,Cash
I204897,Cash
I203178,Debit Card
I262105,Cash
I358791,Credit Card
I334883,Cash
I844405,Credit Card
I284474,Credit Card
I316383,Cash
I230848,Cash
I384873,Debit Card
I223875,Cash
I304830,Cash
I247936,Cash
I250414,Credit Card
I276696,Cash
I121828,Credit Card
I844366,Cash
I447293,Cash
I238246,Cash
I170003,Cash
I328770,Cash
I229383,Credit Card
I254075,Credit Card
I128667,Cash
I284445,Debit Card
I713230,Credit Card
I228583,Cash
I890999,Cash
I240382,Credit Card
